bes,besedilo
gorjúp,"gorjúp -a -o prid. (ȗ ū) \n1. knjiž. ki vzbuja duševno bolečino, prizadetost, zlasti zaradi doživetega razočaranja; grenek: gorjup spomin; gorjupe življenjske izkušnje\n2. zastar. ki je neprijetnega okusa kot pelin: gorjupa tekočina\n● pesn. izpiti gorjupo čašo doživeti veliko hudega, težkega\ngorjúpo prisl.: gorjupo se je nasmehnil\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
grád,"grád -ú in -a m, mn. gradóvi (ȃ) \n1. v nekaterih deželah veliko utrjeno poslopje, graščakovo bivališče: grad je začel razpadati; okoli gradu je lep vrt; mogočen, utrjen grad; obzidje gradu / ekspr. njegova hiša je pravi grad bogata, razkošna stavba\n // ljubljanski grad / v ljudskih pesmih, v pravljicah: stoji tam beli grad; stekleni, začarani grad; pren., pesn. takrat so se podrli njihovi sanjski gradovi\n2. zastar. mesto: Turki so prisegli porušiti stolni grad\n● ekspr. obljubljal ji je zlate gradove srečo, bogastvo; ekspr. gradove si zida v oblake dela neizvedljive načrte, sanjari o nemogočem\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
grênek,"grênek in grenák grênka -o in -ó prid., grenkéjši (é ȃ é) \n1. ki je neprijetnega okusa kot pelin, ant. sladek: grenek zeliščni sok; žolč je grenek; uživati mora grenko zdravilo; zelo grenek; grenek kot pelin / sir ima nekoliko grenek okus / pije grenko kavo brez sladkorja\n // grenek vonj\n2. nav. ekspr. ki vzbuja duševno bolečino, prizadetost, zlasti zaradi doživetega razočaranja: spomin nanj je bil grenek; grenka izkušnja; obšla ga je grenka misel; zvedel je grenko resnico / grenka žalost; grenko slovo / pesn. grenka smrt / imel je grenko mladost\n // ki izraža duševno bolečino, zlasti zaradi doživetega razočaranja: grenek izraz obraza; grenek nasmeh; grenko—sladek smehljaj / grenke solze\n // neprijazen, zbadljiv: povsod je poslušal grenke očitke; ušla mu je grenka beseda\n● ekspr. njegov kruh je bil grenek preživljal se je s težkim, neprijetnim delom; ekspr. požreti grenko pilulo sprijazniti se z neprijetno stvarjo, z neprijetnim dejstvom; pesn. izpil je grenko kupo do dna doživel vse težke stvari\n♦ bot. grenka penuša rastlina s pernatimi listi in belimi cveti v socvetju, rastoča ob potokih, Cardamine amara; min. grenka sol rudnina magnezijev sulfat z vodo; epsomit\ngrenkó in grênko prisl.: grenko se drži; grenko se nasmehniti; grenko občutiti\ngrênki -a -o sam.: pog. daj mi požirek grenkega pijače grenkega okusa; ekspr. požreti je moral marsikatero grenko neprijazen, zbadljiv očitek, pripombo; imam grenko v ustih grenek okus; doživel je marsikaj grenkega\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
greníti,"greníti -ím nedov. (ī í) delati kaj manj prijetno, manj srečno: nasprotovanja mu grenijo veselje do dela; lahkomiselnost otrok mu greni življenje; zakaj bi si človek grenil še zadnje trenutke; pesn. bridkost mi je grenila srce\n // redko povzročati, da je kdo žalosten, razočaran: krivični očitki so ga grenili \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
gríč,"gríč -a m (í) nižji hrib: hiša stoji na griču; pogled z nizkega, z zelenega griča / pesn. vinski griči z vinogradi\n // star. naglo je stopal v grič navkreber, navzgor \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
gròb,"gròb grôba m, mest. ed. grôbu in gróbu; mn. grobóvi tudi grôbi, mest. mn. stil. grobéh (ȍ ó) prostor v zemlji za pokop mrliča: pokopati, položiti koga v grob; spustiti krsto v grob / pesn. črni, hladni grob; molči kot grob; bilo je tiho kakor v grobu / skupen grob / kopati grob / ekspr. le malo ljudi ga je spremilo do groba šlo za pogrebom; govoril je ob odprtem grobu\n // pokrit, zasut prostor, navadno jama, v katerem je kdo pokopan: vsak dan je nosila rože na njegov grob; oskrbovani, zapuščeni grobovi; njihov grob je čisto zarasel; grobovi talcev / grob neznanega junaka\n // ekspr. konec življenja, smrt: tako slab še nisem, da bi na grob mislil; vznes. bil ji je zvest do groba; prerani, prezgodnji grob / od zibelke do groba od rojstva do smrti; pren. revščina je grob ljubezni\n● ekspr. sam sebi grob koplje nič ne pazi na zdravje; ekspr. sin ga bo še v grob spravil povzročil njegovo smrt; vznes. skrivnost je nesel s seboj v grob nikomur je ni povedal; ekspr. z eno nogo je že v grobu je že star; kmalu bo umrl; ekspr. če bi oče to vedel, bi se v grobu obrnil bi se zelo razžalostil, razjezil; ekspr. ta človek je pobeljen grob se kaže boljšega, kot je\n♦ arheol. žarni grob z žaro s pepelom mrliča; rel. božji grob vidni spomin Kristusovega groba po cerkvah za velikonočne praznike \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
grúda,"grúda -e ž (ú) \n1. kos sprijete prsti: na njivi razbijajo, tolčejo grude; trda, velika, zdrobljena gruda\n // s prilastkom neoblikovan kos sprijete snovi: gruda suhega blata; črne grude premoga; sladkor v grudah / gruda masla kepa\n2. star. zemlja, prst: rahljati grudo / pesn. revna gruda mu je le malo dajala\n● knjiž., ekspr. že nekaj časa je pod grudo je mrtev; vznes. domača ali rodna gruda domači kraj, domovina\n♦ agr. gruda sprijeta snov v usirjenem mleku; alp. snežna gruda nestisnjena kepa snega; geol. gruda po prelomih razlomljen del zemeljske skorje; vrtn. koreninska gruda korenine sadike s prstjo, ki se jih drži\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
hčí,"hčí hčére ž, tož. ed. hčér, or. ed. hčérjo; rod. mn. hčerá tudi hčér, daj. mn. tudi hčeràm, mest. mn. tudi hčeràh, or. mn. tudi hčerámi; daj., or. dv. tudi hčeráma (ȋ ẹ̑) ženska v odnosu do svojih staršev: hči se mu moži; sprejela nas je domača hči; ima dve majhni, odrasli hčeri; najmlajša hči / ekspr. rodna hči me ne spozna\n // knjiž., s prilastkom ženska glede na svoj izvor, družbeno pripadnost: poročil se je s kmečko hčerjo; tujina je zastrupila tisoče naših hčera in sinov\n● dal je sosedu hčer (v zakon, za ženo) privolil je v poroko z njim; ekspr. tudi ona je Evina hči navadna ženska z vsemi slabostmi; ekspr. Evine hčere ženske; pesn. hči gora, planin reka, ki izvira v gorskem svetu; evfem. hčere noči vlačuge, prostitutke; preg. kakršna mati, takšna hči \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
hláden,"hláden stil. hladán hládna -o tudi -ó prid., hladnéjši (á ȃ á) \n1. ki ima zmerno nizko temperaturo: hladen zrak; voda v reki je precej hladna / hladen dan; hladno podnebje, poletje, vreme / hladne roke\n // ki vzbuja, povzroča občutek hlada: sprehajati se po hladnem gozdu; hladen veter; hladna senca; prijetno hladna soba / ekspr. hladen blesk zvezd; pesn.: hladni grob; širno hladno prostranstvo\n // ki ima temperaturo okolice: vsak dan se umiva v hladni vodi; mleko pije kar hladno; obdelovati hladno železo / štedilnik je še hladen nezakurjen\n // postreči s hladnimi jedmi z jedmi, ki se jedo nekuhane ali ohlajene; hladna večerja večerja iz hladnih jedi\n2. ki vsebuje, izraža nenaklonjenost, odklanjanje: hladen odnos do sodelavcev; hladen pogled, pozdrav, sprejem; bil je hladen do gostov; konferenca je potekala v hladnem vzdušju / po tem dogodku je postal do nje hladen\n3. ki se ne da vplivati čustvom: hladen znanstvenik / hladen premislek; hladna presoja / vse je reševal s svojim hladnim razumom\n // ki ne izraža čustev: hladna glasba, lepota; ima hladne oči / hladna barva neugodno delujoča\n // hladna ženska; hladno občinstvo; čustveno hladen\n● gledalci so ostali hladni se niso navdušili; se niso vznemirili, razburili; tuje trpljenje ga je pustilo hladnega ga ni ganilo, prizadelo; hladne barve modra, zelena, siva barva; ohraniti hladno kri obvladati se, ne razburiti se; vznes. že dolgo počiva v hladni zemlji je mrtev\n♦ fiz. hladna svetloba svetloba, ki jo oddaja hladen vir svetlobe; friz. hladna trajna ondulacija, ki se napravi s kemičnimi sredstvi; geogr. hladni pas območje s stalno hladnim podnebjem, ki leži severno od severnega tečajnika in južno od južnega tečajnika; med. (spolno) hladna ženska ženska, ki pri spolnih odnosih ne čuti vzburjenja; meteor. hladni val je zajel naše kraje v naše kraje je prodrl hladen zrak; hladna fronta del atmosferske fronte, kjer prodira hladen zrak; polit. hladna vojna sovražna meddržavna politika brez oboroženih spopadov; rad. hladna vaja vaja v studiu brez priključenih aparatur; teh. hladno kovanje, valjanje kovanje, valjanje brez poprejšnjega segrevanja; hladno lepilo lepilo, ki lepi brez segrevanja; voj. hladno orožje orožje, ki rani z rezilom ali s konico\nhládno tudi hladnó prisl.: hladno odgovoriti, pozdraviti; hladno premišljeno dejanje; hladno vljuden je bil z njim; ekspr. sprejeli so ga ledeno hladno / v povedni rabi: danes je hladno; v sobi je prijetno hladno; nekoliko hladno mi je\nhládni -a -o sam.: rad bi popil kaj hladnega; ekspr. pijanca so postavili na hladno s silo so ga spravili ven; spraviti mleko na hladno v hladen prostor; pog., ekspr. pazi se, da te ne bodo spravili na hladno aretirali, zaprli\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
hlepéti,"hlepéti -ím nedov. (ẹ́ í) čutiti, imeti strastno željo, pohlep po čem: hlepeti po bogastvu, po slavi; hlepeti po mamilih; hlepeti za priznanjem / hlepi po krvi, po maščevanju / pesn. Kam hlepijo ti misli brez pokoja (O. Župančič) \nhlepèč -éča -e: po zabavah hlepeča družba; prisl.: otrok je hlepeče ogledoval igračo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
hotéti,"hotéti hóčem nedov., hôti hotíte; hôtel hotéla; stil. čèm [tudi čəm] čèš [tudi čəš] čè čêmo čête čêjo, tudi čmò čtè čjò; nikalno nóčem stil. nêčem (ẹ́ ọ́ nọ́čem néčem) \n1. izraža voljo, željo osebka\na) z nedoločnikom da sam uresniči dejanje: dokler živim, hočem biti gospodar v hiši; z njim noče imeti nobenega opravka; oče mu noče izročiti posestva; ni me hotel spoznati; on hoče storiti to; otrok se noče učiti / s poskusom so hoteli dognati, če je teorija pravilna; ravnokar vam je hotel telefonirati / že večkrat smo vam hoteli kaj dati; spet bi hotel biti srečen želel\n // elipt., v glavnem stavku človek marsikaj hoče, a ne more vsega uresničiti; saj veš, zakaj hočem (iti) v tujino; v odvisnem stavku: lahko daš, kar sam hočeš (dati); ne gre, da bi hodil, kadar in kamor bi hotel; ni se mogel upijaniti, četudi je hotel / pa pojdi, če hočeš; udaril sem te, ne da bi hotel; pren. odprl sem knjigo, kjer se je sama hotela; pesn. srce, kam hočeš\nb) z odvisnim stavkom da kdo drug uresniči dejanje: hočejo, da bi bil jaz gospodar; po vsej sili so hoteli, da bi jim izdal tovariše; tako bo, kot jaz hočem / ali hočeš, da ga pokličem / elipt.: če hočeš, ti preberem kako pesem; pomagala jim je, dokler so hoteli; ubogati jo boš moral, kadar bo hotela\n // ekspr. izraža možnost uresničitve česa, navadno nezaželenega: glej ga, vse mi hoče pojesti; ali res hočeš, da plačava kazen zaradi tvoje lahkomiselnosti\n // ekspr., v zvezi z bi izraža omiljeno zapoved, prošnjo: bi mi hotel dati vode; ali bi se hotel malo lepše obnašati\n2. imeti voljo, željo, zahtevo po čem: hoče več prostega časa; otrok hoče kruha; hoče novo obleko; ali hočeš večerjati, večerjo / v vljudnostnem vprašanju »hočete še malo vina?« »Prosim.« / hočejo ga za predsednika; njo hoče za ženo / za to delo hoče preveliko plačilo zahteva; pog. koliko hočeš za hišo koliko jo ceniš; pren. vojna hoče žrtev\n // ekspr., z dajalnikom, navadno v zvezi s kaj, nič delati, prizadejati, navadno kaj slabega: kaj se jeziš, kdo ti pa kaj hoče; pustite človeka, če vam nič noče / hoče mu samo dobro prizadeva si za njegovo korist\n3. nav. ekspr., navadno v nikalni obliki, z nedoločnikom izraža, da dejanje kljub zaželenosti (razmeroma dolgo časa) ne nastopi: dežja noče biti; te noči noče in noče biti konec; jed se noče ohladiti; otroci se niso in niso hoteli prebuditi; ko bi sonce že hotelo zaiti; brezoseb. noče se zdaniti / mokra drva nočejo goreti; otrok noče rasti\n4. ekspr., z nedoločnikom izraža nastopanje dejanja: prestregel sem ga, ko se je hotel zrušiti s konja; elipt. odpravili smo se, ko je sonce že hotelo za goro / obleka se hoče že trgati; čeprav se mu je že hotelo dremati, je pogovor slišal; brezoseb., pog. slabo mi če biti / hoteli so popokati od smeha; od strahu ji je hotela zastati kri v žilah\n5. pog., v vprašalnem stavku, z nedoločnikom izraža možnost, negotovost, nujnost: kaj č(e)mo mu pa dati kaj (naj) mu pa damo, kaj bi mu pa dali; ali č(e)mo iti; kako ti čem pomagati; ne vem, če jim čem sporočiti / elipt. molčal sem, kaj sem pa hotel\n // ekspr., z vprašalnim prislovom izraža nemožnost, nepotrebnost: kako čem iti, saj nimam čevljev kako naj grem; kaj mi češ denar pošiljati, ko ga še sam nimaš kaj bi mi denar pošiljal; kako ti čem pomagati, če sam nič nimam\n6. pog., ekspr., z dajalnikom, v zvezi s kaj pomagati, koristiti: kaj mi če zdaj denar, prej bi ga potreboval; kaj mi (ho)če hiša, če ne morem stanovati v njej; kaj ti če to\n7. v zvezi z reči uvaja\na) povzetek bistvene vsebine povedanega: hočem reči, da to ni res; ti torej hočeš reči, da nič ne delamo / kaj hočeš reči s temi besedami\nb) natančnejšo določitev, dopolnitev povedanega: bilo je dobro, hočem reči, zelo dobro; ljudje, hočem reči, nekaj znancev, mi pravi Anton\n8. v medmetni rabi, v zvezi s kaj izraža sprijaznjenje z danim dejstvom: ukaz je, kaj hočemo; res je, kaj pa hočem, ko je res; kaj se hoče, star sem že; to je žalostno, a kaj se hoče\n9. v prislovni rabi, v tretji osebi, z oziralnim zaimkom ali prislovom izraža nedoločnost, poljubnost, posplošenost: kakor pač hoče, naj bo, meni je vseeno; naj stori, kakor hoče kakorkoli; naj se zgodi, kar se hoče; naj stane, kolikor hoče kolikorkoli\n // piše se tudi brez vejice naj stane kar hoče\n● ekspr. nesreča je hotela drugače po nesreči se je zgodilo drugače; ekspr. usoda je hotela, da je tisto noč umrl moralo se je zgoditi; zgodilo se je; ta človek ve, kaj hoče načrtno deluje, da bi dosegel svoj cilj; pog., ekspr. »vzemi njega za pomoč.« »Kaj če on!« v tej zadevi mi ne more nič pomagati, koristiti; pog., ekspr. spodletelo nam je, kaj č(e)mo zdaj kaj naj ukrenemo, kako naj si pomagamo; ekspr. o tem noče nič slišati o tem noče z nikomer razpravljati; tega ne dopusti, ne dovoli; ekspr. noge ga niso hotele nositi ni mogel hoditi; star. nekateri sosedje so hoteli vedeti, da ni bil vojak so pravili, pripovedovali; ekspr. novica mu ni hotela v glavo ni mogel verjeti, da je resnična; ekspr. hotel je z glavo skozi zid izsiliti, doseči nemogoče; ima denarja, kolikor (ga) hoče zelo veliko; pog., ekspr. če tu nismo varni, pa nič nočem prepričan sem; živim, kot drugi hočejo ne morem uveljavljati svojih želj, svoje volje; zastar. bog hotel, da bi tako ne bilo bog daj; star. še to bi se hotelo, da zapade sneg, pa nam res ni pomoči še tega bi se manjkalo, še tega bi bilo treba; največji slepec je tisti, ki noče videti; čim več človek ima, več hoče človek ni z doseženim nikdar zadovoljen; kdor noče zlepa, mora zgrda na vsak način mora (narediti); če hočete, če hočeš ekspr. to je moj sorodnik ali, če hočete, moj nečak natančneje povedano; ekspr. da, na te stvari gledamo, če hočete, predvsem praktično uvaja dodatno trditev, ki popušča sobesedniku; hočeš nočeš to moraš napraviti hočeš nočeš izraža podkrepitev nujnosti; hočeš nočeš moraš; hotel ne hotel knjiž. hotel (ali) ne hotel, moral se je umakniti\nhotéti se s smiselnim osebkom v dajalniku izraža voljo, željo osebka, da sam uresniči kako dejanje: videl sem, da se ji noče govoriti; ni se nam še hotelo iti dalo, ljubilo\n // hotelo se ji je plesa in petja / z njim so ravnali, kakor se jim je hotelo\nhoté star.: pospravljala je svoje reči, hote oditi\nhotèč -éča -e: pograbila je torbico, hoteč oditi; knjiž. dežela, hoteča se osvoboditi\nhotèn -êna -o: stavek je kljub hoteni jasnosti meglen; govoril je s hoteno počasnostjo; hoteno dejanje\n♦ med. hoteni splav splav, ki ga nosečnica želi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
hrepenéti,"hrepenéti -ím nedov. (ẹ́ í) čutiti, imeti močno željo po čem: ljudje hrepenijo po miru, svobodi; otrok hrepeni po materi; hrepeneti po slavi, sreči; goreče, močno, zelo hrepeneti; ekspr. hrepeneti z vso dušo / vse življenje je hrepenel po tem trenutku / pesn. hrepeneti v daljavo / pren., knjiž. misli hrepenijo k svetlim ciljem\nhrepenèč -éča -e: hrepeneč po slavi, življenju; hrepeneče srce; prisl.: hrepeneče ga je pričakovala\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
izgoréti,"izgoréti -ím dov., izgôrel (ẹ́ í) \n1. prenehati goreti: sveča je izgorela; pren., ekspr. bes v njem je izgorel\n● ekspr. izgoreti od hrepenenja izčrpati se, oslabeti; ekspr. kar izgorela bi od sramu zelo me je sram\n // pesn. prenehati žareti: zarja je izgorela / sonce je izgorelo za gorami\n2. ekspr., v zvezi z v, za izčrpati se zaradi velike prizadevnosti, vneme: izgorela je za svoje otroke; izgorel je za revolucijo; izgorel je v dobroti\nizgôrel tudi izgorèl in izgorél -éla -o: izgorel ogenj; izgorele oči; prim. zgoreti\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
izlíti,"izlíti -líjem dov. (í) \n1. spraviti kaj tekočega iz česa: vino je že izlil; izliti juho na krožnik, vodo v školjko\n2. knjiž., ekspr. brez pridržkov izraziti svoja čustva, razpoloženje: izliti svoje gorje, srečo / pesn. izliti svojo žalost v pesem\n● ekspr. nanj je izlil ves svoj žolč zelo ga je oštel\n3. knjiž., ekspr. napraviti, da je kaj deležno kakega stanja, lastnosti: noč je izlila svoj mir na vas / izliti v ostri glas nekaj mehkobe\nizlíti se \n1. tekoč priti iz česa; izteči: lonec se je prevrnil in mleko se je izlilo / veja jo je zadela v oko in se je izlilo tekoča vsebina je iztekla iz njega; pren., pesn. iz prsi se mu izlije hvalnica\n2. navadno v zvezi s potok, reka preiti v drug večji potok, reko, jezero, morje: tu se reka izlije v morje / knjiž. steza se izlije v široko pot\n3. redko razliti se, razširiti se: voda se je ob povodnji izlila čez nasip / ekspr. čudovita luč se je izlila čez vso zemljo\n4. brezoseb., ekspr. prenehati deževati: do večera se bo že izlilo / kaže, da se je izlilo da ne bo več deževalo; prim. zliti\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
izlívati,"izlívati -am nedov., tudi izlivájte; tudi izlivála (í) \n1. spravljati kaj tekočega iz česa: izlivati vodo\n2. knjiž., ekspr. brez pridržkov izražati svoja čustva, razpoloženje: izlivati svoje gorje, veselje / pesn. izlivati hrepenenje v pesem\nizlívati se \n1. navadno v zvezi s potok, reka prehajati v drug večji potok, reko, jezero, morje: v jezero se izliva več potokov; kraj, kjer se reka izliva v morje; Sora se izliva v Savo\n2. redko razlivati se, razširjati se: ob povodnji se voda izliva / ekspr. sončna luč se izliva po travnikih; prim. zlivati\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
izmíti,"izmíti -míjem tudi zmíti zmíjem dov., izmìl tudi zmìl (í ȋ) z vodo ali drugo tekočino očistiti: rano so mu izmili z alkoholom; redko izmiti sod, steklenice pomiti\n // izmiti zaspane oči\n // z vodo ali drugo tekočino odstraniti zlasti umazanijo: izmiti krvav madež; izmiti si prst z rok / dež je izmil dim iz zraka; pren. s tem se sramota ne da izmiti; pesn. solze so ji izmile vso žalost\nizmít tudi zmít -a -o: izmita posoda; nebo je kakor izmito\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
izpíti,"izpíti -píjem tudi spíti spíjem dov. (í) \n1. s pitjem zaužiti vso tekočino: vina niso izpili, čeprav so ga plačali; izpij, potem greva na pot; pren. izpiti ljubezen\n // s pitjem zaužiti sploh: izpiti požirek vina; izpiti polno skodelico mleka brez oddiha / izpiti na čast z izpitjem kozarca alkoholne pijače počastiti koga, na zdravje z izpitjem kozarca alkoholne pijače zaželeti komu srečo, zdravje\n2. s pitjem napraviti, da v čem ni več določene tekočine: ta žival žrtvi pregrizne vrat in ji izpije kri / izpiti kozarec; pren., pesn. žalost mu je izpila vse moči\n● izpiti kozarec na dušek, v dušku ne da bi se vmes oddahnil\n // knjiž. posušiti, izsušiti: sonce je izpilo meglo / suša je izpila studenec\n // ekspr. izčrpati, oslabiti: delo ga je izpilo / bolezen je izpila njegova lica\nizpít tudi spít -a -o: izpit človek; izpiti kozarci; bledi, izpiti obrazi; izpito vino; izpit od dela\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
jádro,"jádro -a s (ā) kos močne tkanine, s katerim se izkorišča veter za poganjanje čolna, ladje: jadra se napenjajo, plahutajo; izdelovati, šivati jadra; odvezati, privezati, razpeti, razviti, sneti, spustiti, vzdigniti jadro; bela jadra; štirikotno, trapezasto, trikotno jadro / prečna, vzdolžna jadra; čoln na jadra; sukanec za jadra; ekspr. pristanišče je polno jader jadrnic; pren., pesn. jadro mojih mladostnih sanj je splahnelo\n● šalj. še o pravem času je dvignil, razpel jadra odšel; ekspr. pluti s polnimi jadri k cilju hitro, brez obotavljanja se mu bližati\n♦ bot. jadro največji, pokončni venčni list metuljastega cveta; navt. napeti, nategniti jadro napraviti, da ga veter ne boči, zaradi večjega izkoriščanja njegove sile; obrniti jadro od vetra obrniti ga tako, da se veter le malo upira vanj; obrniti jadro proti vetru obrniti ga tako, da se veter močno upira vanj; podvezati, skrajšati, spodvezati jadro delno ga zviti, da je krajše; dobiti veter v jadro naravnati jadro tako, da se vanj upre veter; glavno jadro na glavnem jamboru; košno, spodnje, vršno jadro; križno jadro trapezasto jadro, privezano na vodoravni križ; krmno jadro na krmnem jamboru; latinsko jadro trikotno jadro, privezano na poševni križ; sošno jadro trapezoidno jadro, privezano na soho; vmesna jadra trikotna jadra, privezana na naponah pri velikih jadrnicah \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
jáma,"jáma -e ž (á) \n1. v zemljo narejena vdolbina: na cesti se delajo, nastajajo jame; kopati, narediti, zasuti jamo; pasti, stopiti v jamo; jame od bomb; jame za sajenje dreves\n // nav. ekspr. vdolbeno mesto sploh: narediti sredi žgancev jamo za mast / bil je tako suh, da so se mu v licih delale jame vdolbine; oči so mu ležale v globokih jamah\n2. naraven izvotljen prostor pod zemeljskim površjem: jama sega, vodi daleč v hrib; raziskovati jame; spustiti se v jamo; skalnata jama / odkritje sledov primitivnega človeka v jami / kraška jama podzemeljska jama v kraškem svetu; podzemeljska jama / Postojnska jama\n3. navadno s prilastkom prostor v zemlji, tleh za zbiranje česa, navadno obzidan: betonirati jamo / apnena jama za shranjevanje apna; gnojnična jama; greznična jama greznica; kompostna jama / dati repo v jamo\n // teh. obzidan prostor navadno v tleh, na tleh, v katerem se s tekočino ali paro obdeluje surovina: lužilna jama; parilna jama\n // nekdaj preprosta stavba, zgrajena delno v zemlji, delno nad njo, zlasti za sušenje lanene slame: zakuriti jamo; sušiti na jami / sušilna jama\n4. prostor pod zemeljskim površjem, v katerem se koplje, pridobiva ruda ali premog: odpreti novo jamo; spustiti se v jamo; zračenje jame / pog.: dela v jami je zaposlen kot rudar; ponesrečil se je v jami v rudniku\n // s prilastkom prostor, kjer se kaj koplje, pridobiva sploh: gramozna, peščena, šotna jama / ustreljen je bil v Gramozni jami\n5. nav. ekspr. prostor v zemlji za pokop mrliča; grob: izkopati komu jamo; spustiti krsto v jamo; zagrebli so ga v jamo / pesn. počiva v črni jami\n6. ekspr., s prilastkom bivališče, zbirališče: tvoja hiša je jama razbojnikov; pren. jama greha, hudodelstva\n● ekspr. zanj je že pripravljena jama kmalu bo umrl; ekspr. sam sebi jamo koplje dela take stvari, ki ga spravljajo v nesrečo, so mu v pogubo; evfem. pomagati komu v jamo biti kriv, sokriv njegove smrti; ekspr. ta obrt je zanj zlata jama prinaša mu zelo velik dobiček; preg. kdor drugim jamo koplje, sam vanjo pade nesreča, ki jo kdo pripravlja drugim, navadno zadene njega samega; preg. če slepec slepca vodi, oba v jamo padeta iskanje nasveta, opore pri enako neizkušenem človeku je pogubno; preg. pijanec se spreobrne, ko se v jamo zvrne kdor je vdan pijači, se tega do smrti ne more znebiti\n♦ geogr. ledena jama kraška jama, v kateri se ohrani led vse leto ali velik del leta; suha jama kraška jama, v kateri ne teče voda; vodna jama kraška jama, v kateri teče voda; grad. gradbena jama ki omogoča gradnjo temeljev in podzemnih delov objekta; lov. jama razširjeni del rova jazbeca ali lisice; volčja jama ki se napravi za lovljenje volkov; metal. livna jama v tleh livarne, v kateri se ulivajo težji ulitki; teh. revizijska ali servisna jama v tla narejen prostor za pregledovanje spodnjega dela vozila\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
jása,"jása -e ž (á) površina v gozdu, ki ni porasla z drevjem ali grmovjem: priti na jaso; gola, sončna, travnata jasa; jasa sredi gošče / pokrajina je zmes temnih gozdnih zaplat in svetlih jas, posejanih z naselji; pren., pesn. mehke jase spomina \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
